Date,Open,High,Low,Close,Volume
2018-10-25 03-PM,6559,6560,6540.97,6545,5.98
2018-10-25 02-PM,6559.62,6574.1,6555.45,6559,7.77
2018-10-25 01-PM,6555.25,6566.44,6551.76,6559.62,9.57
2018-10-25 12-PM,6547.14,6558.5,6545,6555.25,1.88
2018-10-25 11-AM,6540.23,6559.53,6540.23,6547.14,7.92
2018-10-25 10-AM,6550.56,6554.06,6540.23,6540.23,2.67
2018-10-25 09-AM,6554.8,6554.8,6544.05,6550.56,3.83
2018-10-25 08-AM,6555,6555,6550,6554.8,1.24
2018-10-25 07-AM,6553.98,6559.2,6546.97,6555,1.64
2018-10-25 06-AM,6540.09,6558.29,6538.14,6553.98,4.72
2018-10-25 05-AM,6546,6546,6531.71,6540.09,0.1238
2018-10-25 04-AM,6535,6549.66,6535,6546,1.31
2018-10-25 03-AM,6532.3,6540.9,6527.24,6535,4.16
2018-10-25 02-AM,6510,6534,6506.11,6532.3,10.94
2018-10-25 01-AM,6575.46,6575.66,6510,6510,22.73
2018-10-25 12-AM,6561.47,6576.28,6554.93,6575.46,2.21
2018-10-24 11-PM,6570.95,6570.95,6548.08,6561.47,13.49
2018-10-24 10-PM,6577.29,6580.9,6565.1,6570.95,5.18
2018-10-24 09-PM,6583.62,6583.62,6570.4,6577.29,1.56
2018-10-24 08-PM,6582.69,6594.3,6572.02,6583.62,9.16
2018-10-24 07-PM,6591,6594.41,6570,6582.69,20.94
2018-10-24 06-PM,6595.08,6600.87,6590.12,6591,7.98
2018-10-24 05-PM,6593.57,6605.37,6591.12,6595.08,4.47
2018-10-24 04-PM,6580.34,6601.87,6580,6593.57,4.83
2018-10-24 03-PM,6615.29,6615.29,6580.08,6580.34,12.87
2018-10-24 02-PM,6604.89,6618.81,6604.89,6615.29,14.26
2018-10-24 01-PM,6615.05,6615.05,6602.93,6604.89,8.39
2018-10-24 12-PM,6609.47,6615.05,6601.94,6615.05,5.47
2018-10-24 11-AM,6609,6613.11,6597.09,6609.47,2.24
2018-10-24 10-AM,6601,6615.61,6601,6609,7.59
2018-10-24 09-AM,6611.84,6611.84,6594.32,6601,7.39
2018-10-24 08-AM,6604.45,6618.01,6603.83,6611.84,10.02
2018-10-24 07-AM,6615.07,6615.07,6597.92,6604.45,4.13
2018-10-24 06-AM,6613.59,6618.56,6613.59,6615.07,7.62
2018-10-24 05-AM,6625,6625,6604.92,6613.59,15.75
2018-10-24 04-AM,6584.93,6625,6572.98,6625,11.08
2018-10-24 03-AM,6568.03,6584.93,6568,6584.93,6.74
2018-10-24 02-AM,6569.39,6570.81,6555.76,6568.03,12.64
2018-10-24 01-AM,6568,6570.09,6562.65,6569.39,0.7326
2018-10-24 12-AM,6556.15,6568,6549.77,6568,5.34
2018-10-23 11-PM,6552.95,6562.08,6551.56,6556.15,2.21
2018-10-23 10-PM,6555.66,6556,6545.1,6552.95,8.22
2018-10-23 09-PM,6555.61,6561.94,6551.42,6555.66,13.63
2018-10-23 08-PM,6571.71,6582.23,6555.51,6555.61,20.39
2018-10-23 07-PM,6560.99,6586,6560.99,6571.71,12.91
2018-10-23 06-PM,6562.54,6565.31,6550,6560.99,16.78
2018-10-23 05-PM,6571.38,6574,6557.5,6562.54,4.32
2018-10-23 04-PM,6560.63,6573.98,6555.43,6571.38,5.73
2018-10-23 03-PM,6560.81,6578.41,6556.47,6560.63,12.4
2018-10-23 02-PM,6570.04,6570.04,6554.03,6560.81,13.73
2018-10-23 01-PM,6569,6584.94,6569,6570.04,5.79
2018-10-23 12-PM,6540.1,6569,6532.28,6569,20.0
2018-10-23 11-AM,6538.18,6550.65,6538.18,6540.1,3.81
2018-10-23 10-AM,6553.83,6555.23,6530,6538.18,19.21
2018-10-23 09-AM,6577.18,6577.18,6541.24,6553.83,18.9
2018-10-23 08-AM,6574.88,6579.58,6566.64,6577.18,7.08
2018-10-23 07-AM,6579.25,6580.56,6573.24,6574.88,8.71
2018-10-23 06-AM,6585,6590.02,6564.1,6579.25,22.89
2018-10-23 05-AM,6580.55,6596.67,6580.5,6585,9.26
2018-10-23 04-AM,6574.57,6580.55,6574.57,6580.55,3.81
2018-10-23 03-AM,6588.94,6592.86,6573.53,6574.57,7.28
2018-10-23 02-AM,6595.3,6595.74,6588.94,6588.94,0.3017
2018-10-23 01-AM,6582.02,6597,6581.1,6595.3,6.8
2018-10-23 12-AM,6581.55,6586.07,6574.96,6582.02,7.34
2018-10-22 11-PM,6575.48,6586.35,6575.33,6581.55,7.55
2018-10-22 10-PM,6578.7,6586.35,6575.03,6575.48,7.17
2018-10-22 09-PM,6592.93,6592.93,6578.7,6578.7,2.14
2018-10-22 08-PM,6561,6592.93,6560.96,6592.93,6.72
2018-10-22 07-PM,6560.72,6566.3,6558.23,6561,0.7024
2018-10-22 06-PM,6576.53,6579.29,6554.1,6560.72,9.94
2018-10-22 05-PM,6575,6586.8,6574.5,6576.53,4.18
2018-10-22 04-PM,6570.5,6575,6562.67,6575,6.79
2018-10-22 03-PM,6568.56,6575,6567.1,6570.5,8.42
2018-10-22 02-PM,6577.35,6577.35,6561.1,6568.56,3.23
2018-10-22 01-PM,6589.21,6589.21,6549.63,6577.35,52.38
2018-10-22 12-PM,6596.81,6596.81,6584.18,6589.21,4.77
2018-10-22 11-AM,6595.1,6597.61,6585.41,6596.81,4.8
2018-10-22 10-AM,6590.44,6598.58,6582.76,6595.1,25.16
2018-10-22 09-AM,6587.66,6597.78,6583.57,6590.44,5.82
2018-10-22 08-AM,6622,6622,6571.77,6587.66,22.67
2018-10-22 07-AM,6635.13,6640.55,6605.72,6622,12.9
