Date,Open,High,Low,Close,Volume
2020-01-18 08-AM,8831.12,8868,8815,8855.36,94.38
2020-01-18 07-AM,8859.54,8877.44,8831.12,8831.12,67.48
2020-01-18 06-AM,8848.14,8867.5,8798.9,8859.54,204.5
2020-01-18 05-AM,8838.61,8865.17,8806.6,8848.14,273.23
2020-01-18 04-AM,8914.62,8919.67,8811.6,8838.61,340.32
2020-01-18 03-AM,8910.1,8940.03,8890.7,8914.62,83.02
2020-01-18 02-AM,8933.17,8937.25,8885.82,8910.1,40.91
2020-01-18 01-AM,8969.1,8983.93,8885.47,8933.17,123.06
2020-01-18 12-AM,8892.63,8978.88,8858.72,8969.1,167.49
2020-01-17 11-PM,8929.73,8950,8888.73,8892.63,118.74
2020-01-17 10-PM,8904.24,8949.55,8885.76,8929.73,110.99
2020-01-17 09-PM,8867.9,8923.09,8867.01,8904.24,121.7
2020-01-17 08-PM,8869.17,8925.96,8854.68,8867.9,462.86
2020-01-17 07-PM,8901.21,8950,8800,8869.17,281.26
2020-01-17 06-PM,8871.61,8940.84,8867.91,8901.21,191.66
2020-01-17 05-PM,8861.43,8903.29,8843.53,8871.61,107.22
2020-01-17 04-PM,8834.58,8908.46,8827.08,8861.43,424.83
2020-01-17 03-PM,8769.85,8857.07,8765.02,8834.58,239.41
2020-01-17 02-PM,8840.67,8840.67,8762.39,8769.85,484.14
2020-01-17 01-PM,8799.89,8854.96,8791.11,8840.67,111.32
2020-01-17 12-PM,8884.93,8906.31,8784.29,8799.89,440.29
2020-01-17 11-AM,8912.18,8945.48,8868.13,8884.93,233.15
2020-01-17 10-AM,8942.93,9015.22,8870,8912.18,1120.64
2020-01-17 09-AM,8910.01,8975,8901.25,8942.93,655.64
2020-01-17 08-AM,8925.65,9000,8872.47,8910.01,857.49
2020-01-17 07-AM,8857.76,8939.18,8845.03,8925.65,743.48
2020-01-17 06-AM,8894.65,8998,8845,8857.76,1306.91
2020-01-17 05-AM,8791.69,8896.02,8779.34,8894.65,486.72
2020-01-17 04-AM,8776.67,8800.32,8742.42,8791.69,152.65
2020-01-17 03-AM,8741.08,8833.22,8735.32,8776.67,381.07
2020-01-17 02-AM,8720.4,8770,8700,8741.08,162.86
2020-01-17 01-AM,8673.57,8724.6,8666.62,8720.4,53.92
2020-01-17 12-AM,8710.15,8736.81,8661.52,8673.57,114.22
2020-01-16 11-PM,8710,8739.05,8703.9,8710.15,98.96
2020-01-16 10-PM,8678.59,8738.18,8678.59,8710,47.49
2020-01-16 09-PM,8726.91,8753.33,8657.34,8678.59,323.55
2020-01-16 08-PM,8686.74,8745.27,8675.56,8726.91,221.14
2020-01-16 07-PM,8665.13,8699,8656.36,8686.74,118.78
2020-01-16 06-PM,8658.77,8690.25,8633.93,8665.13,159.26
2020-01-16 05-PM,8637.9,8713.83,8629.38,8658.77,148.16
2020-01-16 04-PM,8699.78,8706.02,8591.79,8637.9,823.0
2020-01-16 03-PM,8668.04,8714.72,8655.37,8699.78,156.9
2020-01-16 02-PM,8682,8693.03,8632.1,8668.04,289.02
2020-01-16 01-PM,8707.55,8712.8,8653.68,8682,306.47
2020-01-16 12-PM,8708.39,8771.02,8673.43,8707.55,220.34
2020-01-16 11-AM,8641.67,8708.39,8610.79,8708.39,204.61
2020-01-16 10-AM,8631.04,8655.97,8584.04,8641.67,236.42
2020-01-16 09-AM,8655,8662.97,8573.91,8631.04,871.05
2020-01-16 08-AM,8662.39,8694.5,8640.97,8655,466.4
2020-01-16 07-AM,8699.98,8702.33,8634.86,8662.39,135.75
2020-01-16 06-AM,8682.17,8705,8654.33,8699.98,111.73
2020-01-16 05-AM,8636.95,8704.7,8629.89,8682.17,164.18
2020-01-16 04-AM,8628.26,8667,8603.13,8636.95,181.91
2020-01-16 03-AM,8636.81,8649.99,8575,8628.26,218.47
2020-01-16 02-AM,8648.65,8688.45,8589.1,8636.81,244.74
2020-01-16 01-AM,8744.95,8764.95,8602.6,8648.65,608.53
2020-01-16 12-AM,8809.17,8852.35,8700,8744.95,356.41
2020-01-15 11-PM,8846.1,8865,8781.39,8809.17,213.32
2020-01-15 10-PM,8819.55,8855.78,8795,8846.1,223.39
2020-01-15 09-PM,8803.78,8847.58,8779.42,8819.55,261.74
2020-01-15 08-PM,8748.09,8828.27,8718.81,8803.78,366.38
2020-01-15 07-PM,8734.45,8769.22,8730,8748.09,116.76
2020-01-15 06-PM,8786.22,8786.22,8705,8734.45,250.01
2020-01-15 05-PM,8766.53,8792.81,8713.65,8786.22,293.26
2020-01-15 04-PM,8741.4,8803.8,8661.25,8766.53,552.93
2020-01-15 03-PM,8841.69,8855.28,8726.82,8741.4,651.18
2020-01-15 02-PM,8877.31,8897.88,8718.74,8841.69,827.9
2020-01-15 01-PM,8749.44,8903.2,8747.6,8877.31,885.69
2020-01-15 12-PM,8724.25,8778.64,8703.97,8749.44,328.32
2020-01-15 11-AM,8783.39,8795.55,8708.03,8724.25,193.72
2020-01-15 10-AM,8743.55,8798.88,8704.85,8783.39,643.75
2020-01-15 09-AM,8618.17,8762.39,8615.23,8743.55,455.69
2020-01-15 08-AM,8611.93,8653.1,8582.72,8618.17,282.12
2020-01-15 07-AM,8659.82,8663.3,8602,8611.93,125.38
2020-01-15 06-AM,8604.93,8670.54,8594.66,8659.82,148.54
2020-01-15 05-AM,8585.45,8650,8555,8604.93,106.13
2020-01-15 04-AM,8718.74,8732.18,8563.2,8585.45,432.24
2020-01-15 03-AM,8801.28,8808.04,8718.74,8718.74,96.86
2020-01-15 02-AM,8772.4,8823.54,8758.51,8801.28,160.02
2020-01-15 01-AM,8776.66,8799,8709.5,8772.4,367.4
2020-01-15 12-AM,8813.04,8901.46,8701,8776.66,624.18
2020-01-14 11-PM,8738.5,8895,8723.33,8813.04,1158.33
2020-01-14 10-PM,8740.22,8784.29,8726.43,8738.5,155.27
2020-01-14 09-PM,8693.23,8764.23,8672.08,8740.22,213.22
2020-01-14 08-PM,8782.75,8786.77,8681.65,8693.23,390.76
2020-01-14 07-PM,8772.58,8788.41,8692.06,8782.75,302.46
2020-01-14 06-PM,8779.1,8863.72,8675.31,8772.58,1413.02
2020-01-14 05-PM,8683.02,8823.96,8677,8779.1,1549.78
2020-01-14 04-PM,8684.52,8700.63,8519.56,8683.02,1396.88
2020-01-14 03-PM,8700,8768,8640,8684.52,808.8
2020-01-14 02-PM,8589.09,8745.24,8559.96,8700,1645.33
2020-01-14 01-PM,8489.85,8589.09,8484.69,8589.09,524.15
2020-01-14 12-PM,8524.15,8616.83,8466.37,8489.85,899.21
2020-01-14 11-AM,8518,8537.93,8490,8524.15,238.24
2020-01-14 10-AM,8489.2,8523.18,8446.02,8518,613.47
2020-01-14 09-AM,8510.16,8562.94,8475.01,8489.2,340.83
2020-01-14 08-AM,8501.35,8546.31,8499.18,8510.16,314.99
2020-01-14 07-AM,8520,8542.9,8490.01,8501.35,173.3
2020-01-14 06-AM,8482.47,8520,8463,8520,504.04
2020-01-14 05-AM,8525.86,8540.56,8460.11,8482.47,269.98
2020-01-14 04-AM,8466.43,8580,8464.35,8525.86,748.77
2020-01-14 03-AM,8429.7,8482.43,8380.77,8466.43,198.49
2020-01-14 02-AM,8442.37,8442.37,8377.3,8429.7,590.08
2020-01-14 01-AM,8273.16,8491.69,8269.86,8442.37,1956.07
2020-01-14 12-AM,8105.01,8314.77,8105.01,8273.16,603.96
2020-01-13 11-PM,8120.08,8137.34,8100.1,8105.01,92.06
2020-01-13 10-PM,8135.46,8137.92,8106.28,8120.08,65.31
2020-01-13 09-PM,8154.12,8156.54,8115,8135.46,209.87
2020-01-13 08-PM,8105.17,8161.06,8101.3,8154.12,172.81
2020-01-13 07-PM,8100.68,8122.3,8096.98,8105.17,57.14
2020-01-13 06-PM,8090.59,8101.16,8080.3,8100.68,164.39
2020-01-13 05-PM,8096.57,8126.47,8081.45,8090.59,90.92
2020-01-13 04-PM,8073.01,8104.13,8064.44,8096.57,126.74
2020-01-13 03-PM,8080.42,8095.17,8061.85,8073.01,110.62
